Account,classification,total_pnl,num_trades,win_rate,avg_size_usd
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1113373.548,1778,0.526,17020.495
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1105304.859,1643,0.51,3141.527
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,620872.376,12437,0.498,3275.305
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,534058.236,5889,0.273,6161.486
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,401309.435,3457,0.378,2621.969
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,381330.494,2517,0.554,27702.051
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,367166.217,5981,0.371,37633.679
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,276719.27,574,0.16,15134.13
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,261917.978,4480,0.379,4447.524
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,227680.492,772,0.637,1521.842
